Date,Open,High,Low,Close,Adj Close,Volume
2017-06-14,6237.46,6237.53,6153.55,6194.89,6194.89,1940440000.0
2017-06-15,6127.05,6170.15,6107.85,6165.5,6165.5,1858130000.0
2017-06-16,6154.28,6161.56,6125.5,6151.76,6151.76,3120640000.0
2017-06-19,6196.85,6243.31,6194.0,6239.01,6239.01,1976970000.0
2017-06-20,6229.62,6234.01,6186.94,6188.03,6188.03,2570130000.0
2017-06-21,6202.75,6236.66,6200.86,6233.95,6233.95,2401440000.0
2017-06-22,6239.15,6257.68,6221.96,6236.69,6236.69,2170250000.0
2017-06-23,6234.35,6269.37,6218.78,6265.25,6265.25,2704600000.0
2017-06-26,6292.73,6303.45,6233.43,6247.15,6247.15,2150630000.0
2017-06-27,6227.9,6234.32,6146.62,6146.62,6146.62,2181830000.0
2017-06-28,6173.1,6238.29,6144.8,6234.41,6234.41,2069400000.0
2017-06-29,6215.49,6216.6,6087.81,6144.35,6144.35,2402250000.0
2017-06-30,6166.84,6170.63,6129.04,6140.42,6140.42,1998330000.0
2017-07-03,6173.29,6177.36,6106.12,6110.06,6110.06,1099560000.0
2017-07-05,6122.06,6163.62,6100.42,6150.86,6150.86,1872130000.0
2017-07-06,6109.6,6127.98,6081.96,6089.46,6089.46,1990590000.0
2017-07-07,6111.21,6164.94,6111.21,6153.08,6153.08,1700630000.0
2017-07-10,6156.03,6191.27,6141.83,6176.39,6176.39,1675470000.0
2017-07-11,6171.25,6200.58,6149.87,6193.3,6193.3,1808110000.0
2017-07-12,6238.9,6265.64,6236.82,6261.17,6261.17,1820550000.0
2017-07-13,6269.1,6281.45,6251.26,6274.44,6274.44,1803810000.0
2017-07-14,6289.08,6321.76,6278.7,6312.47,6312.47,1608120000.0
2017-07-17,6320.35,6330.97,6307.34,6314.43,6314.43,1558030000.0
2017-07-18,6304.82,6344.55,6291.07,6344.31,6344.31,1762400000.0
2017-07-19,6363.24,6387.73,6362.19,6385.04,6385.04,1862910000.0
2017-07-20,6396.46,6398.26,6365.68,6390.0,6390.0,1818880000.0
2017-07-21,6383.05,6388.78,6365.12,6387.75,6387.75,1797100000.0
2017-07-24,6387.82,6417.7,6380.61,6410.81,6410.81,1735520000.0
2017-07-25,6407.59,6425.45,6396.87,6412.17,6412.17,1925230000.0
2017-07-26,6425.93,6432.38,6416.3,6422.75,6422.75,1988040000.0
2017-07-27,6459.76,6460.84,6318.62,6382.19,6382.19,2483560000.0
2017-07-28,6350.27,6379.7,6337.22,6374.68,6374.68,1860770000.0
2017-07-31,6394.69,6396.59,6338.79,6348.12,6348.12,1891710000.0
2017-08-01,6372.16,6375.75,6345.75,6362.94,6362.94,1812590000.0
2017-08-02,6393.1,6394.21,6313.43,6362.65,6362.65,2104130000.0
2017-08-03,6366.24,6368.53,6331.14,6340.34,6340.34,2113440000.0
2017-08-04,6350.79,6361.49,6329.73,6351.56,6351.56,1907170000.0
2017-08-07,6361.06,6386.03,6356.23,6383.77,6383.77,1701550000.0
2017-08-08,6373.33,6423.35,6355.88,6370.46,6370.46,1914670000.0
2017-08-09,6322.92,6355.04,6309.44,6352.33,6352.33,2033760000.0
2017-08-10,6312.65,6318.28,6214.41,6216.87,6216.87,2204700000.0
2017-08-11,6222.18,6266.89,6216.19,6256.56,6256.56,1794850000.0
2017-08-14,6306.11,6346.83,6305.55,6340.23,6340.23,1698560000.0
2017-08-15,6350.51,6350.74,6324.75,6333.01,6333.01,1580060000.0
2017-08-16,6348.11,6374.56,6330.27,6345.11,6345.11,1804730000.0
2017-08-17,6322.72,6334.23,6221.91,6221.91,6221.91,2041220000.0
2017-08-18,6222.46,6254.22,6193.38,6216.53,6216.53,1964590000.0
2017-08-21,6216.32,6226.93,6177.19,6213.13,6213.13,1576070000.0
2017-08-22,6241.21,6302.84,6241.21,6297.48,6297.48,1597700000.0
2017-08-23,6263.47,6291.3,6263.29,6278.41,6278.41,1533220000.0
2017-08-24,6294.82,6302.85,6244.57,6271.33,6271.33,1616780000.0
2017-08-25,6293.81,6308.72,6257.1,6265.64,6265.64,1442900000.0
2017-08-28,6286.01,6292.26,6267.85,6283.02,6283.02,1558690000.0
2017-08-29,6228.9,6311.26,6228.73,6301.89,6301.89,1637640000.0
2017-08-30,6308.68,6374.47,6303.57,6368.31,6368.31,1712070000.0
2017-08-31,6385.8,6435.27,6383.58,6428.66,6428.66,1885710000.0
2017-09-01,6442.17,6449.65,6417.87,6435.33,6435.33,1488040000.0
2017-09-05,6414.82,6426.51,6334.59,6375.57,6375.57,1886950000.0
2017-09-06,6394.35,6407.4,6356.2,6393.31,6393.31,1906030000.0
2017-09-07,6402.94,6413.07,6379.81,6397.87,6397.87,1998380000.0
2017-09-08,6389.65,6391.41,6354.96,6360.19,6360.19,1785560000.0
2017-09-11,6411.18,6439.11,6410.71,6432.26,6432.26,1819300000.0
2017-09-12,6448.81,6455.03,6429.54,6454.28,6454.28,1745090000.0
2017-09-13,6440.72,6460.42,6433.2,6460.19,6460.19,1942090000.0
2017-09-14,6439.46,6455.32,6424.04,6429.08,6429.08,1809170000.0
2017-09-15,6426.16,6464.27,6419.65,6448.47,6448.47,2821110000.0
2017-09-18,6460.1,6477.77,6438.41,6454.64,6454.64,1874440000.0
2017-09-19,6465.57,6467.79,6446.75,6461.32,6461.32,1809710000.0
2017-09-20,6459.74,6466.05,6414.23,6456.04,6456.04,2052520000.0
2017-09-21,6448.57,6448.57,6405.3,6422.69,6422.69,1772790000.0
2017-09-22,6401.44,6429.54,6400.81,6426.92,6426.92,1639100000.0
2017-09-25,6403.11,6408.05,6343.96,6370.59,6370.59,2050410000.0
2017-09-26,6391.85,6405.0,6364.57,6380.16,6380.16,1926420000.0
2017-09-27,6414.37,6472.65,6405.36,6453.26,6453.26,2053720000.0
2017-09-28,6437.96,6456.23,6427.66,6453.45,6453.45,1828570000.0
2017-09-29,6461.28,6497.98,6454.86,6495.96,6495.96,1967720000.0
2017-10-02,6506.08,6527.22,6484.14,6516.72,6516.72,1977030000.0
2017-10-03,6523.74,6532.18,6509.71,6531.71,6531.71,1969320000.0
2017-10-04,6521.96,6546.46,6513.12,6534.63,6534.63,1938440000.0
2017-10-05,6552.87,6587.21,6547.65,6585.36,6585.36,1875670000.0
2017-10-06,6566.95,6590.18,6566.84,6590.18,6590.18,1742470000.0
2017-10-09,6597.37,6599.34,6572.44,6579.73,6579.73,1490620000.0
2017-10-10,6602.49,6608.3,6561.78,6587.25,6587.25,1799400000.0
2017-10-11,6586.73,6604.21,6577.99,6603.55,6603.55,1830360000.0
2017-10-12,6594.76,6613.5,6586.32,6591.51,6591.51,2000470000.0
2017-10-13,6613.21,6616.58,6602.2,6605.8,6605.8,1756150000.0
2017-10-16,6622.55,6632.5,6607.03,6624.0,6624.0,1629480000.0
2017-10-17,6621.42,6628.6,6613.21,6623.66,6623.66,1647240000.0
2017-10-18,6634.26,6635.52,6613.55,6624.22,6624.22,1734030000.0
2017-10-19,6583.7,6605.29,6558.53,6605.07,6605.07,1823860000.0
2017-10-20,6633.37,6640.03,6622.92,6629.05,6629.05,1794810000.0
2017-10-23,6641.57,6641.57,6581.15,6586.83,6586.83,1809320000.0
2017-10-24,6598.61,6611.9,6582.06,6598.43,6598.43,1842640000.0
2017-10-25,6587.22,6600.64,6517.93,6563.89,6563.89,2190720000.0
2017-10-26,6567.59,6582.76,6550.03,6556.77,6556.77,2108210000.0
2017-10-27,6635.03,6708.13,6625.78,6701.26,6701.26,2403600000.0
2017-10-30,6693.77,6727.39,6677.15,6698.96,6698.96,2013640000.0
2017-10-31,6713.71,6737.75,6705.79,6727.67,6727.67,2043890000.0
2017-11-01,6758.64,6759.66,6691.48,6716.53,6716.53,2056860000.0
2017-11-02,6709.39,6719.97,6677.55,6714.94,6714.94,2262940000.0
2017-11-03,6737.09,6765.14,6712.93,6764.44,6764.44,2195010000.0
2017-11-06,6763.3,6790.67,6763.17,6786.44,6786.44,2166470000.0
2017-11-07,6785.44,6795.52,6750.35,6767.78,6767.78,2205270000.0
2017-11-08,6764.85,6791.65,6753.34,6789.12,6789.12,2110990000.0
2017-11-09,6737.45,6758.93,6687.28,6750.05,6750.05,2235180000.0
2017-11-10,6736.39,6757.34,6727.35,6750.94,6750.94,1973970000.0
2017-11-13,6727.39,6766.3,6723.43,6757.6,6757.6,1973790000.0
2017-11-14,6733.87,6743.63,6709.27,6737.87,6737.87,1983830000.0
2017-11-15,6700.68,6725.32,6667.31,6706.21,6706.21,1908660000.0
2017-11-16,6742.34,6806.67,6742.34,6793.29,6793.29,2002920000.0
2017-11-17,6794.45,6797.75,6777.43,6782.79,6782.79,1988090000.0
2017-11-20,6789.28,6795.83,6779.49,6790.71,6790.71,1800880000.0
2017-11-21,6820.55,6862.66,6820.02,6862.48,6862.48,1883550000.0
2017-11-22,6869.53,6874.52,6859.28,6867.36,6867.36,1588200000.0
2017-11-24,6878.11,6890.02,6873.74,6889.16,6889.16,848520000.0
2017-11-27,6889.91,6897.43,6867.89,6878.52,6878.52,1773400000.0
2017-11-28,6893.72,6914.19,6866.21,6912.36,6912.36,2000410000.0
2017-11-29,6907.28,6908.33,6793.95,6824.39,6824.39,2452860000.0
2017-11-30,6852.8,6888.65,6838.48,6873.97,6873.97,2458580000.0
2017-12-01,6844.04,6872.17,6737.16,6847.59,6847.59,2293570000.0
2017-12-04,6897.13,6899.23,6770.69,6775.37,6775.37,2426570000.0
2017-12-05,6759.14,6836.45,6752.32,6762.21,6762.21,2083540000.0
2017-12-06,6742.07,6787.42,6734.13,6776.38,6776.38,1891850000.0
2017-12-07,6785.74,6829.29,6778.2,6812.84,6812.84,1934120000.0
2017-12-08,6859.95,6870.48,6831.61,6840.08,6840.08,1806040000.0
2017-12-11,6847.64,6879.8,6844.88,6875.08,6875.08,1818970000.0
2017-12-12,6872.71,6884.8,6856.3,6862.32,6862.32,1861560000.0
2017-12-13,6880.41,6897.62,6871.87,6875.8,6875.8,1919560000.0
2017-12-14,6887.38,6901.13,6851.63,6856.53,6856.53,1985200000.0
2017-12-15,6871.55,6945.82,6871.45,6936.58,6936.58,3510420000.0
2017-12-18,6980.4,7003.89,6975.54,6994.76,6994.76,2144360000.0
2017-12-19,6991.25,6995.88,6951.49,6963.85,6963.85,2071060000.0
2017-12-20,6991.25,6991.25,6935.42,6960.96,6960.96,1874550000.0
2017-12-21,6972.88,6992.63,6961.21,6965.36,6965.36,1815620000.0
2017-12-22,6958.02,6962.26,6944.45,6959.96,6959.96,1539250000.0
2017-12-26,6928.92,6942.14,6915.56,6936.25,6936.25,1304340000.0
2017-12-27,6941.45,6955.38,6931.34,6939.34,6939.34,1409540000.0
2017-12-28,6953.38,6954.8,6936.75,6950.16,6950.16,1311320000.0
2017-12-29,6952.61,6954.98,6903.39,6903.39,6903.39,1571730000.0
2018-01-02,6937.65,7006.91,6924.08,7006.9,7006.9,1914930000.0
2018-01-03,7017.07,7069.15,7016.7,7065.53,7065.53,2166780000.0
2018-01-04,7089.5,7098.05,7072.38,7077.91,7077.91,2098890000.0
2018-01-05,7105.74,7137.04,7097.08,7136.56,7136.56,2020900000.0
2018-01-08,7135.38,7161.35,7124.09,7157.39,7157.39,2051430000.0
2018-01-09,7174.19,7181.14,7148.3,7163.58,7163.58,2107300000.0
2018-01-10,7129.83,7154.24,7111.52,7153.57,7153.57,2122740000.0
2018-01-11,7168.73,7211.78,7163.23,7211.78,7211.78,2009740000.0
2018-01-12,7208.17,7265.26,7205.18,7261.06,7261.06,1976200000.0
2018-01-16,7307.19,7330.33,7205.93,7223.69,7223.69,2377140000.0
2018-01-17,7257.77,7309.36,7229.32,7298.28,7298.28,2238070000.0
2018-01-18,7293.65,7313.89,7276.11,7296.05,7296.05,2026220000.0
2018-01-19,7312.0,7336.38,7297.28,7336.38,7336.38,1997270000.0
2018-01-22,7338.04,7408.03,7332.81,7408.03,7408.03,2106070000.0
2018-01-23,7424.95,7465.39,7423.18,7460.29,7460.29,2119840000.0
2018-01-24,7474.16,7486.32,7376.75,7415.06,7415.06,2277010000.0
2018-01-25,7457.95,7458.53,7388.58,7411.16,7411.16,2061450000.0
2018-01-26,7448.33,7505.77,7431.22,7505.77,7505.77,2059010000.0
2018-01-29,7484.47,7500.61,7455.55,7466.51,7466.51,2103380000.0
2018-01-30,7388.89,7433.65,7373.99,7402.48,7402.48,2163980000.0
2018-01-31,7443.25,7453.99,7381.12,7411.48,7411.48,2407540000.0
2018-02-01,7377.17,7441.09,7362.28,7385.86,7385.86,2291680000.0
2018-02-02,7347.59,7364.43,7238.18,7240.95,7240.95,2587770000.0
2018-02-05,7165.96,7277.36,6967.53,6967.53,6967.53,3106870000.0
2018-02-06,6837.56,7126.55,6824.82,7115.88,7115.88,3131030000.0
2018-02-07,7086.2,7170.34,7051.53,7051.98,7051.98,2366970000.0
2018-02-08,7067.3,7073.99,6776.77,6777.16,6777.16,2707700000.0
2018-02-09,6863.34,6917.01,6630.67,6874.49,6874.49,3155990000.0
2018-02-12,6936.68,7023.62,6879.69,6981.96,6981.96,2240420000.0
2018-02-13,6942.16,7025.68,6938.16,7013.51,7013.51,1816670000.0
2018-02-14,6979.24,7152.05,6977.07,7143.62,7143.62,2211460000.0
2018-02-15,7200.75,7256.93,7130.39,7256.43,7256.43,2110700000.0
2018-02-16,7236.51,7303.26,7226.38,7239.47,7239.47,2019830000.0
